Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
CO2 emissions (kt),EN.ATM.CO2E.KT,Gibraltar,GIB,333.697,344.698,348.365,355.699,385.035,399.703,418.038,414.371,425.372,462.042,465.709,454.708,462.042,491.378,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Greece,GRC,91616.328,93805.527,93669.848,95738.036,97149.831,98675.303,97285.51,98246.264,95965.39,91942.691,83490.256,80725.338,79969.936,69155.953,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Greenland,GRL,531.715,539.049,539.049,531.715,583.053,608.722,627.057,638.058,660.06,575.719,663.727,707.731,568.385,568.385,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Grenada,GRD,190.684,194.351,205.352,216.353,205.352,216.353,231.021,238.355,253.023,253.023,260.357,253.023,271.358,304.361,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Guam,GUM,,,,,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Guatemala,GTM,9915.568,10626.966,11096.342,10828.651,11620.723,12570.476,12647.483,12625.481,11430.039,11851.744,11664.727,11837.076,11972.755,13597.236,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Guinea,GIN,1279.783,1298.118,1323.787,1342.122,1342.122,1180.774,1180.774,1210.11,2189.199,2258.872,2603.57,2779.586,2581.568,2299.209,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Guinea-Bissau,GNB,146.68,150.347,154.014,194.351,201.685,212.686,216.353,231.021,227.354,234.688,238.355,245.689,253.023,256.69,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Guyana,GUY,1609.813,1595.145,1580.477,1565.809,1628.148,1437.464,1290.784,1562.142,1558.475,1565.809,1719.823,1782.162,1994.848,1936.176,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Haiti,HTI,1367.791,1569.476,1826.166,1734.491,1987.514,2075.522,2112.192,2390.884,2398.218,2269.873,2126.86,2218.535,2317.544,2405.552,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Honduras,HND,5031.124,5713.186,6090.887,6769.282,7367.003,7554.02,7007.637,8778.798,8672.455,7873.049,7975.725,8954.814,8984.15,9064.824,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Hong Kong SAR, China",HKG,40439.676,37957.117,39636.603,43358.608,41708.458,43871.988,42056.823,43721.641,43978.331,42152.165,40758.705,43794.981,43446.616,44994.09,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Hungary,HUN,55811.74,56955.844,56094.099,59064.369,57458.223,58019.274,57388.55,56035.427,54843.652,48587.75,50215.898,47762.675,44521.047,41440.767,,
